$930726

Cup# Sample   AlK    Tvs  NH₃   NO₂
8     Brf      2.95   10.38 .05   .02
9     Brf      2.90   10.28 .05   .02
10    Re       0.74   3.81  .55   .34
11    Re       0.72   3.64  .57   .33
12    L930941  2.58   15.82 .05   .02
13    Re       2.56   15.53 .05   .02
14    L930942  1.94   13.86 .05   .02
15    Re       1.87   14.54 .05   .02
16    L930943  1.58   8.71  .05   .02
17    Re       1.56   8.64  .05   .02
18    L930944  2.58   13.46 .05   .02
19    Re       2.50   13.62 .05   .02
20    L930945  2.35   12.10 .05   .02
21    Re       2.30   11.89 .05   .02
22    L930946  2.46   16.00 .05   .02
23    Re       2.44   15.43 .05   .02
24    L930947  3.30   1.00  .34   .17
25    Brf      3.22   1.00  .35   .18
26    Brf      2.93   10.30 .05   .02
27    Brf      2.92   10.11 .05   .02
28    Re       0.77   3.73  .57   .34
29    Re       0.73   3.71  .34   .32
30    L930948  2.56   15.82 .05   .02
31    Re       2.52   15.56 .05   .02
32    L930949  1.91   1.00  .23   .74
33    Brf      1.87   1.00  .23   .74
34    L930950  1.56   1.00  .35   .18
35    Re       1.53   1.00  .35   .18
36    L930951  2.78   15.64 .05   .02
37    Brf      2.73   15.52 .05   .02
38    Re       2.65   12.20 .05   .02
39    L930952  2.63   12.04 .05   .02
40    Brf      2.57   10.58 .05   .02
41    L930953  2.43   10.35 .05   .02
42    Re       2.41   10.26 .05   .02
43    L930954  3.38   1.00  .34   .17
44    Brf      3.25   1.00  .35   .18
45    Brf      2.96   10.32 .05   .02
46    Re       2.94   10.22 .05   .02
47    Re       0.77   3.81  .57   .34
48    Re       0.74   3.64  .57   .33
49    L930955  2.58   15.82 .05   .02
50    Re       2.56   15.53 .05   .02

2018-12-30 5:34
